lat,lon,name,amenity_type,address_city
12.9298318,80.2045907,Infant jesus high school,school,Chennai
12.9830589,80.1889595,Saraswathi Vidyalaya,kindergarten,Chennai
12.926285,80.1978774,Chennai School (Corporation),school,Chennai
12.9855216,80.2200277,Eurokids,kindergarten,Chennai
12.9961623,80.2462804,Asian College of Journalism,college,Chennai
12.968849,80.1920857,Rajkumar Sulochana Matric Higher Secondary School,school,Chennai
12.9801464,80.2320468,Chennai Primary School,school,Chennai
12.9852163,80.218948,Chennai Higher Secondary School,school,Chennai
12.9157009,80.2364655,Tamilnadu Teachers Education University,university,Chennai
12.9767972,80.226075,St Antony School,school,Chennai
12.9887139,80.2306876,Department of Electrical Engineering;Electrical Engineering Department,university,Chennai
12.9914769,80.2336786,IIT Madras,university,Chennai
12.938573,80.2528173,St. Joseph Higher Secondary School,school,Chennai
12.9956265,80.2040906,St Brittos College,college,Chennai
12.9052007,80.2108772,Central Institute of Classical Tamil,university,Chennai
12.969047,80.1942822,Prince Srivari Vidyalaya,school,Chennai
12.9694645,80.1949092,Shri Venkateshwara Highter Secondary School,school,Chennai
12.9602888,80.18651,Holy Family Convent Matric. Hr. Sec. School,school,Chennai
12.9689235,80.1849511,Government Higher Secondary School,school,Chennai
12.9688048,80.1844534,Government Primary School,school,Chennai
12.9217681,80.2404146,Kcg college of techology,college,Chennai
12.9430359,80.1928444,Netaji Vidyalaya School,school,Chennai
12.9230904,80.22918,Thangavelu Engineering Collage,college,Chennai
12.9111281,80.1918496,Lifeline Stepping Stones,kindergarten,Chennai
12.9156431,80.1945578,Zemcode Medical Coding Training,school,Chennai
13.0542557,80.1943992,Balalok Matriculation Higher Secondary School,school,Chennai
13.0530994,80.1967081,JaiGopal Garodia Girls High school,school,Chennai
13.0141314,80.2052179,Central Institute of Petrochemicals Engineering and Technology,college,Chennai
13.0542712,80.2036334,LaClarence Matriculation Higher Secondary Schoolt,school,Chennai
13.0438348,80.1981602,Thai Sathia School,school,Chennai
13.0074771,80.2613841,Starlight Abacus School,school,Chennai
13.060167,80.1937294,Chinmaya Vidyalaya,school,Chennai
13.0474865,80.1873415,St. John's Matriculation Higher Secondary School,school,Chennai
13.0735855,80.2088301,Kanmani Montessori School,school,Chennai
13.0798455,80.2106862,Anna Adharsh College for Women,college,Chennai
13.0734099,80.2062046,Ambal Metriculation School,school,Chennai
13.0442984,80.1853388,La Chatlaine,school,Chennai
13.0745115,80.2139192,Kolla Perumal (KPVCSS),school,Chennai
13.0397071,80.1996798,PSBB School,school,Chennai
13.0382542,80.1976842,Sri Krishna Swamy Mat. Hr. Sec. School,school,Chennai
13.0538146,80.2143813,Janaki Ramachandran Matriculation Scool,school,Chennai
13.0247563,80.189912,Amrita Vidyalaya,school,Chennai
13.0542995,80.2028196,Govt School,school,Chennai
13.0543125,80.2059776,Barathi Vidayala School - Block 1,school,Chennai
13.0538945,80.2061707,Barathi Vidayala School - Block 2,school,Chennai
13.0916188,80.2075894,"Chinmaya Vidhyalaya, Anna Nagar",school,Chennai
13.0017,80.266308,St.Johns English School,school,Chennai
13.076586,80.2666606,சென்னை மாநகராட்ச்சி பள்ளி-சிந்தாரிபேட்டை,school,Chennai
13.0687761,80.218961,IID Community College,college,Chennai
13.054758,80.2412002,Padma Seshadri Bala Bhavan Higher Secondary School,school,Chennai
13.0231287,80.2180065,Diana Nursery & Primary School,school,Saidapet
13.0348934,80.238973,தென் இந்திய இந்தி பரப்புரை கூட்டமைப்பு,school,Chennai
13.0977041,80.2285669,Soundara Pandiya Nadar School,school,Chennai
13.0286604,80.2243406,Oxford Matriculation Higher Secondary School,school,Chennai
13.0679752,80.2242291,PANIMALAR POLYTECHNIC COLLEGE,school,Chennai
13.0372385,80.2334005,Target soft solution,school,Chennai
13.0048641,80.252718,Aathichudy Special School,school,Kanchipuram
13.0592368,80.2337307,Loyola-Icam College of Engineering and Technology,college,Chennai
13.0361057,80.2365642,செ.தெ நாயகம் தியாகராய நகர் மேனிலைப் பள்ளி,school,Chennai
13.05904,80.2367929,Loyola Institute of Business Administration,college,Chennai
13.0358756,80.2374395,குண்டூர் சுப்பையா பிள்ளை தி.நகர் பெண்கள் மேல் நிலைப்பள்ளி,school,Chennai
13.0105838,80.2353736,அண்ணா பல்கலைக்கழகம்,college,Chennai
13.0278146,80.2444728,Govt.Hr secondary school,school,Chennai
13.07553,80.2202914,Government Yoga And Naturopathy Medical College & Hospital,college,Chennai
13.0490522,80.2465644,Bala Mandir Kamaraj Trust,school,Chennai
13.0494342,80.2581387,National Public School,school,Chennai
13.0499352,80.2566304,ஸ்ரீ சாரதா பள்ளி,school,Chennai
13.0502398,80.2566442,D.A.V Boys Higher Secondary School,school,Chennai
13.0542403,80.2465591,Elemenopy,kindergarten,Chennai
13.054456,80.2474328,Footprints,kindergarten,Chennai
13.039242,80.2563567,Peace Academy Chennai,school,Chennai
13.0260311,80.2114987,Manimegalai Vidhyalaya Nursery and Primary School,school,Chennai
13.0293598,80.2068015,Seethalakshmi Vidhyalaya School,school,Chennai
13.0294143,80.2124208,Chennai High School,school,Chennai
