lat,lon,name,category,address
13.0396062,80.1915913,MariAmman Temple,Hindu Temple,", Chennai"
13.039601,80.1913177,Purathana MaariAmman Temple,Hindu Temple,", Chennai"
13.1283952,80.1493695,Murugan temple (Ambattur),Hindu Temple,", Chennai"
12.908527,80.197316,Vinayagar,Hindu Temple,", Chennai"
12.9712171,80.1286089,Pillayar Temple,Hindu Temple,", Chennai"
12.9698737,80.1258945,SatSang Temple,Hindu Temple,", Chennai"
12.970937,80.1262243,EGP Office,Attraction,", Chennai"
12.970893,80.1254171,EGP Biogas Plant,Attraction,", Chennai"
12.9717795,80.1307463,Park,Park,", Chennai"
13.0233612,80.1807515,Jeevan Jothi Church,Church,", Chennai"
13.0592322,80.2032449,Sri Raghavendra Swamy Temple,Hindu Temple,", Chennai"
12.9889042,80.1951009,Lakshmi Narasimhar Temple,Hindu Temple,", Chennai"
12.9893653,80.1917126,Sri Raja Rajeshwari Temple,Hindu Temple,", Chennai"
12.9888415,80.1952645,Devi Karumari Amman Temple,Hindu Temple,"24th Street, Chennai"
13.0254269,80.1879611,Kalasathamman Koil,Hindu Temple,", Chennai"
13.0016446,80.2027593,Karpaga vinayagar koil,Hindu Temple,", Chennai"
12.9674844,80.2090431,Ramar Temple,Hindu Temple,", Chennai"
12.9216642,80.2030798,Temple,Hindu Temple,", Chennai"
13.0202517,80.2012952,Jumma Masjid,Mosque,", Chennai"
12.9700508,80.2577086,Vembuliamman Kovil,Hindu Temple,", Chennai"
12.9754585,80.2536488,Vinayakar Kovil,Hindu Temple,", Chennai"
12.97431,80.2556251,Anjaneyar Kovil,Hindu Temple,", Chennai"
12.9753235,80.2586208,Masjid e Noor,Mosque,", Chennai"
12.9745263,80.2629518,Saibaba Temple,Place of Worship,", Chennai"
12.9274911,80.1441464,Sivan Temple,Hindu Temple,", Chennai"
12.9273663,80.1437887,Yoga Mandhir,Hindu Temple,", Chennai"
13.0591627,80.2015426,Shankaranarayana Swami Temple,Hindu Temple,", Chennai"
12.957841,80.2022556,Kodi Baba Sai Baba Temple,Place of Worship,", Chennai"
12.9609216,80.1924438,Kamatchi amman temple,Hindu Temple,", Chennai"
12.9573918,80.2572485,Seashore St. Antony's shrine,Church,", Chennai"
13.0531562,80.1933726,Ganesh temple,Hindu Temple,", Chennai"
12.9211025,80.1697712,Vinayagar Temple,Hindu Temple,", Chennai"
13.0134057,80.1722622,Manapakkam Church,Church,", Chennai"
12.9706821,80.2149946,Government Park,Park,", Chennai"
12.9715054,80.2179451,Shiva Vishnu Temple,Hindu Temple,", Chennai"
13.0280338,80.13088,Vinayagar Temple,Hindu Temple,", Chennai"
12.9877095,80.1923229,Raghavendra Temple,Place of Worship,", Chennai"
13.0356221,80.2247776,Sankara Mutt,Hindu Temple,", Chennai"
13.0090832,80.2341705,Thiruvalluvar Statue,Historical Monument,", Chennai"
13.020153,80.2206968,School Church,Church,", Chennai"
13.020091,80.2204763,Pillaiyar Koil,Hindu Temple,", Chennai"
12.9790968,80.2270337,Church,Church,", Chennai"
12.9789947,80.2309198,Sachidanantha Ashram,Hindu Temple,", Chennai"
13.0235867,80.2249449,Nataraja Devara Sabai,Hindu Temple,", Chennai"
13.0238405,80.2251383,Pillaiyar Koil,Hindu Temple,", Chennai"
12.9561034,80.1848057,Murukan koil,Hindu Temple,", Chennai"
12.9720394,80.1839997,Sri Lakshmi Narasimha Navaneetha Krishnan Temple,Hindu Temple,", Chennai"
12.9642492,80.2437737,St.Pius Church,Church,", Chennai"
12.9629528,80.2435484,Masjid,Mosque,", Chennai"
12.9491408,80.2388599,Jumah Mosque,Mosque,", Chennai"
12.9514934,80.240834,Prasana Venkateha Perumal Temple,Hindu Temple,", Chennai"
12.9355058,80.2339031,Shekinah Church,Church,", Chennai"
12.9344601,80.2361991,Siva temple,Hindu Temple,", Chennai"
12.9339477,80.2324172,Selva Vinayagar Temple,Hindu Temple,", Chennai"
12.9335086,80.231752,CSI St.Thomas Church,Church,", Chennai"
12.8979146,80.2354526,Sri Pratyagara Devi Temple,Hindu Temple,", Chennai"
12.9007968,80.2280471,Corporate Prayer Cell,Place of Worship,", Chennai"
12.9014505,80.2263251,Sai Baba Mandir,Place of Worship,", Chennai"
12.9012988,80.2256867,Masjidur Rahman,Mosque,", Chennai"
12.9875962,80.1853121,Vembuli Amman Kovil,Hindu Temple,", Chennai"
12.9784197,80.1855508,Kubera Vinayagar Temple,Hindu Temple,", Chennai"
12.9581348,80.1883173,Srinivasa Perumal Temple,Hindu Temple,", Chennai"
12.8930966,80.1844884,Pilliar Kovil,Hindu Temple,", Chennai"
13.0513498,80.1774904,Perumal Koil,Hindu Temple,", Chennai"
13.0500302,80.1803952,Vinayagar Temple,Hindu Temple,", Chennai"
12.9848069,80.1884395,Panachiamman Alayam,Hindu Temple,", Chennai"
13.0410311,80.2332635,Panagal Park,Park,", Chennai"
13.076586,80.2675779,Sivan Koil,Hindu Temple,", Chennai"
13.076539,80.2683424,Vinayagar Koil,Hindu Temple,", Chennai"
12.989065,80.2686022,Arupadai Veedu Temple Complex,Hindu Temple,", Chennai"
13.0687865,80.2182717,PowerHouse Church,Church,"6th Cross Street, Collectorate Colony, Chennai"
12.9814033,80.2590403,Thirumudi Vinayagar Temple,Hindu Temple,", Chennai"
13.2821734,80.2606973,Mosque,Mosque,", Chennai"
13.0054892,80.1961426,Pandurangan Koil,Hindu Temple,", Chennai"
12.9839182,80.2224743,Yoga Narasimhar Temple,Hindu Temple,", Chennai"
13.0146359,80.1685607,Temple in Manapakkam,Hindu Temple,", Chennai"
13.0316689,80.1537162,Temple in Porur,Hindu Temple,", Chennai"
13.0462177,80.1892664,Vembuli Amma Temple,Hindu Temple,", Chennai"
13.0481106,80.1926003,Kaliamman temple,Hindu Temple,", Chennai"
13.0486164,80.1926084,Sri Sundara Varadaraja Perumal,Hindu Temple,", Chennai"
13.0395893,80.2366977,Agasthiyar Temple,Hindu Temple,", Chennai"
13.0191432,80.1529719,Ponniamman Koil,Hindu Temple,"Ponniamman Koil Salai, Chennai"
13.0189339,80.1480731,Karpaga Vinayagar Temple,Hindu Temple,"Madha Nagar Main Road, Chennai"
12.922164,80.1438885,CSI St Mark Church,Church,"Velachery - Tambaram Main Road, Chennai"
12.9238671,80.136263,Sri Ahobila Mutt,Hindu Temple,", Chennai"
12.9264688,80.1033588,Birameswarar Siva Vishnu Temple,Hindu Temple,"Muduchur Road, West Tambaram, Chennai"
12.9245538,80.1416815,Rajarajeswari Temple,Hindu Temple,", Chennai"
13.0608729,80.2429026,Village Road Mosque,Mosque,", Chennai"
12.9895011,80.1915616,Sathyanarayana Swamy Temple,Hindu Temple,", Chennai"
12.9859049,80.1923763,Sathya Sai Seva Samithi,Place of Worship,"2nd Main Road, Chennai"
12.8974655,80.1458669,Sacred Heart of Jesus Church,Church,"Valan Nagar, Madambakkam, Chennai"
13.0393412,80.2228559,Satya Narayana Temple,Hindu Temple,", Chennai"
12.893442,80.1833765,Amman Kovil,Hindu Temple,", Chennai"
13.0335585,80.2780141,Tomb of St. Thomas,Historical Monument,", Chennai"
12.9688014,80.146697,Jamiya Masjid,Mosque,"Bazaar Road, Chennai"
12.9711538,80.1503475,Green Mosque,Mosque,", chennai"
12.8838101,80.2285664,HMPA Church,Church,"P.A. Koil 2nd street, Chennai"
13.1260715,80.1146085,Morugappa Cricket Ground,Park,", Chennai"
12.9229059,80.2517281,Cholamandal Artists' Village,Attraction,", Chennai"
13.0539906,80.2763155,Stone inscrptions,Historical Monument,", Chennai"
13.054043,80.2763644,Stone inscrptions,Historical Monument,", Chennai"
13.061025,80.1900919,Murugan Temple,Hindu Temple,", Chennai"
13.0981376,80.2297164,CSI St James Church,Church,", Chennai"
13.0019288,80.2418569,Sri Jalakanteshwara swamy Temple,Hindu Temple,"Delhi Avenue, Chennai"
13.0476637,80.1970377,"Mata Amritanandamayi Math, Bhramastanam Temple",Place of Worship,"Arcot Rd, Chennai"
12.9508931,80.1458857,Siva Rama Anjaneya Murugan Koil,Hindu Temple,"Hanumar Koil Street, Chennai"
12.9478429,80.1470023,Pillayar Koil Bharathipuram,Hindu Temple,"Nehru street, Chennai"
12.8479989,80.2407196,Mayaajaal,Attraction,"East Coast Road SH49, Chennai"
12.9518426,80.1452408,Radha Nagar Chromepet,Viewpoint,", Chennai"
12.9528336,80.1421501,Pillayar Koil,Hindu Temple,"radhanagar main road, Chennai"
12.8273582,80.180246,Reserved Forest,Attraction,", Chennai"
12.8199034,80.1926944,Pudhupakkam Lake,Attraction,", Chennai"
13.1197508,80.1176193,Full Gospel Telugu Baptist Church,Church,"Church street, ESI Annanagar, Avadi, Chennai"
12.9408826,80.1425152,Bhavani Amman Kovil,Hindu Temple,", Chennai"
12.9417063,80.1426648,Vaikunda Parameshwari Amman Kovil,Hindu Temple,", Chennai"
12.9439424,80.1424399,Kumaran Kundram Kovil,Hindu Temple,", Chennai"
13.0263685,80.2171939,CHENNAI CORPORATION PARK,Attraction,"DHADIRATNAM STREETS , Chennai"
13.0323409,80.2200818,CHICKEN 65 SHOP,Attraction,"Kavarai Street, Chennai"
13.0727185,80.2617491,EMPEE GROUP OF COMPANY,Attraction,"Adithanar Road, Chennai"
13.0247674,80.2182663,MLA OFFICE ,Attraction,"West Jones Road, Chennai"
13.0303206,80.1592585,Amman Temple,Hindu Temple,", Chennai"
13.0724579,80.2620643,MOTOR FINANCE CORPORATION,Attraction,"Adithanar Road, Chennai"
13.0585933,80.2075767,arun anna room,Viewpoint,", Chennai"
13.048233,80.2119691,idea showroom,Viewpoint,", Chennai"
