lat,lon,name,type,address
13.1241104,80.2014276,Vijaya bakery,Bakery,", Chennai"
13.0167774,80.2738022,The Cake Shop,Bakery,", Chennai"
13.0959632,80.2895895,CK's Bakery,Bakery,", Chennai"
13.0970268,80.2866504,FB Cakes,Bakery,", Chennai"
13.1001378,80.2868576,Alankar Bakers,Bakery,", Chennai"
12.9984323,80.267497,Cake Park,Bakery,", Chennai"
12.9450866,80.2535517,The Old Madras Baking Company,Bakery,", Chennai"
13.0986425,80.2799036,Ramya Bakery,Bakery,", Chennai"
13.0939093,80.2796572,Cake Square,Bakery,", Chennai"
13.0963163,80.2798691,Cake Square,Bakery,", Chennai"
13.0985522,80.2812879,CHAMS Bakery,Bakery,", Chennai"
13.10234,80.2798945,Brownie Heaven,Bakery,", Chennai"
13.1025875,80.2798689,Chandrika Bakery,Bakery,", Chennai"
13.100262,80.2842559,Cake & Shake,Bakery,", Chennai"
13.1002074,80.2846017,Welcome,Bakery,", Chennai"
12.8902454,80.1847352,Unnamed Bakery,Bakery,", Chennai"
12.8862568,80.1890924,Archana Bakery,Bakery,", Chennai"
12.9129709,80.1920555,Unnamed Bakery,Bakery,", Chennai"
12.912768,80.1920519,Unnamed Bakery,Bakery,", Chennai"
13.0636311,80.2438774,Karachi Bakery and Cafe,Bakery,", Chennai"
13.1213393,80.1484069,McRennett,Bakery,", Chennai"
13.0147114,80.1532718,Baker's World,Bakery,", Chennai"
13.0136778,80.2277489,The Casablanca Company,Bakery,", Chennai"
13.0848645,80.2057815,Prima Bakery,Bakery,", Chennai"
13.0327266,80.2122029,Nimi's Oven,Bakery,", Chennai"
12.9653222,80.2077195,Bazaar Bakery,Bakery,", Chennai"
12.9697654,80.1993767,mars bakery,Bakery,", chennai"
13.0519123,80.2297025,Saravana Bakery,Bakery,", Chennai"
13.120343,80.1397519,Sri Balaji Iyengar's Bakery & Cool Drink,Bakery,", Chennai"
13.088723,80.2869782,McRennett Bakery,Bakery,", Chennai"
