lat,lon,name,specialization,address
13.0862972,80.2802475,Kalanjiam Hardware Stores,General Hardware,", Chennai"
13.087287,80.2810559,Bhandari Electric Company,Electrical Components & Wiring,", Chennai"
13.088378,80.2813116,Deekay Electricals,Electrical Components & Wiring,", Chennai"
13.0884039,80.2813185,Mahesh Electricals,Electrical Components & Wiring,", Chennai"
13.0881957,80.2812714,Ramdev Electric Palace,Electrical Components & Wiring,", Chennai"
13.0909483,80.2762268,Victory Electricals,Electrical Components & Wiring,", Chennai"
13.0910716,80.2759703,Sanjay Electricals,Electrical Components & Wiring,", Chennai"
13.0942813,80.2797363,Arihant Electric Agencies,Electrical Components & Wiring,", Chennai"
13.0942353,80.2795478,Raman Hardwares,General Hardware,", Chennai"
13.0943736,80.2799343,Raman Electric Co.,Electrical Components & Wiring,", Chennai"
13.0950786,80.2798582,Namo Hardwares,General Hardware,", Chennai"
13.0950764,80.2809489,Jay Guru Electricals,Electrical Components & Wiring,", Chennai"
13.0951292,80.2806217,Bhansali Electricals,Electrical Components & Wiring,", Chennai"
13.0986731,80.2827619,S.N. Electrical Agencies,Electrical Components & Wiring,", Chennai"
13.0960048,80.2796129,Kuber Electronics,General Hardware,", Chennai"
13.0941804,80.2819742,Saras Electricals Agency,Electrical Components & Wiring,", Chennai"
13.1026268,80.2842346,RIFA Electrical & Electronics,Electrical Components & Wiring,", Chennai"
13.0982975,80.280698,Mangalam Electricals,Electrical Components & Wiring,", Chennai"
13.0907107,80.2814417,K.M. Electric Co.,Electrical Components & Wiring,", Chennai"
13.0907346,80.281446,Roop Samrat Electrical Enterprises,Electrical Components & Wiring,", Chennai"
13.0910898,80.2814936,Neerav Electricals,Electrical Components & Wiring,", Chennai"
13.0911071,80.2814959,Tiger Agencies,General Hardware,", Chennai"
13.0912087,80.2814149,Krystal Electricals,Electrical Components & Wiring,", Chennai"
13.0912533,80.2814195,Dev Electrical,Electrical Components & Wiring,", Chennai"
13.0912902,80.2815212,Vassavi Enterprises,General Hardware,", Chennai"
13.0913674,80.2814376,Sagar & Sagar,General Hardware,", Chennai"
13.0913935,80.2814414,Shree Krishna Electricals,Electrical Components & Wiring,", Chennai"
13.0914034,80.2813468,Kesari Maruthi Electricals,Electrical Components & Wiring,", Chennai"
13.091384,80.2815323,Dangi Metals and Electricals,Electrical Components & Wiring,", Chennai"
13.091431,80.2815364,Vardhaman Cable Company,Electrical Components & Wiring,", Chennai"
13.0914662,80.2815391,Nirmal Sales Corporation,General Hardware,", Chennai"
13.0915244,80.2814624,Bharath Electricals,Electrical Components & Wiring,", Chennai"
13.0915648,80.2814682,Dhanlaxmi Lights,General Hardware,", Chennai"
13.0915348,80.2813847,Riddhi Siddhi Electricals,Electrical Components & Wiring,", Chennai"
13.0916719,80.2815762,Simran Electric Company,Electrical Components & Wiring,", Chennai"
13.0916814,80.281484,Sri Ramdev Power Line,General Hardware,", Chennai"
13.0916891,80.281401,Shanti Electricals,Electrical Components & Wiring,", Chennai"
13.0904996,80.281411,Ganesh Electrical Company,Electrical Components & Wiring,", Chennai"
13.0904716,80.2814062,Sangeetha Electric Company,Electrical Components & Wiring,", Chennai"
13.0906003,80.2814238,Vandana Electricals,Electrical Components & Wiring,", Chennai"
13.0906049,80.2813858,Poonam Electricals,Electrical Components & Wiring,", Chennai"
13.0906106,80.2813423,Samraat Electric Company,Electrical Components & Wiring,", Chennai"
13.090545,80.2814165,Vikas Electric Agencies,Electrical Components & Wiring,", Chennai"
13.0905512,80.2813761,Shanti Traders,General Hardware,", Chennai"
13.0918894,80.2817283,Ritron Lightings & Electricals,Electrical Components & Wiring,", Chennai"
13.0916869,80.2817062,Sagar Distributors,General Hardware,", Chennai"
13.0916379,80.2817002,Rusabh Lites & Cables,Electrical Components & Wiring,", Chennai"
13.0915577,80.2817107,Vardhan Electricals,Electrical Components & Wiring,", Chennai"
13.0912329,80.2816547,Siddharth Electricals,Electrical Components & Wiring,", Chennai"
13.0909574,80.2816258,Ramdev Electricals,Electrical Components & Wiring,", Chennai"
13.0908494,80.2816146,Arun Electricals,Electrical Components & Wiring,", Chennai"
13.0907807,80.281608,Ratrajan Electrical Co,Electrical Components & Wiring,", Chennai"
13.0907552,80.2816058,SR Electricals,Electrical Components & Wiring,", Chennai"
13.0907247,80.2816034,Padam Switch Boards,Switches & Connectors,", Chennai"
13.0906852,80.281679,Chennai Electricals,Electrical Components & Wiring,", Chennai"
13.0907161,80.2816836,Rahul Electricals,Electrical Components & Wiring,", Chennai"
13.0906323,80.2815908,Divya Electricals,Electrical Components & Wiring,", Chennai"
13.0906071,80.2815889,Samraat Electric Company,Electrical Components & Wiring,", Chennai"
13.0905697,80.2815858,Sangam Electric Co,Electrical Components & Wiring,", Chennai"
13.0905442,80.2815838,Shree Electricals,Electrical Components & Wiring,", Chennai"
13.0905347,80.2816924,V.M. Electrics & Hardwares,Electrical Components & Wiring,", Chennai"
13.090501,80.2815793,Chennai Electric Palace,Electrical Components & Wiring,", Chennai"
13.0904614,80.2815593,Sree Subham Electricals,Electrical Components & Wiring,", Chennai"
13.0904365,80.2815556,Bafna Electric Corp,Electrical Components & Wiring,", Chennai"
13.0904116,80.2815524,Nahar Electric Co,Electrical Components & Wiring,", Chennai"
13.0903893,80.2815492,Choudhary Electricals,Electrical Components & Wiring,", Chennai"
13.0903681,80.281546,Akash Cable Corporation,Electrical Components & Wiring,", Chennai"
13.0902118,80.2815215,Sun Electricals,Electrical Components & Wiring,", Chennai"
13.0901496,80.2815108,K.C. & Sons,General Hardware,", Chennai"
13.090093,80.2815041,Bhandari & Sons,General Hardware,", Chennai"
13.0899442,80.2814604,Sudarshan Electric Palace,Electrical Components & Wiring,", Chennai"
