CellID,Lat,Lon,apartments,tourist_places,supermarkets,clothing_shops,RawScore,Score_0_1000,Rank
1.0,12.854521858664786,80.13449155587494,0.8199498879978622,1.551021823511689,0.0,-0.0,2.370971711509551,394.0615240310888,558
2.0,12.854521858664786,80.14347466762486,2.205443506626945,2.194274368783396,0.4329680220296155,-0.0,4.832685897439956,396.9388032832903,513
3.0,12.854521858664786,80.15245777937477,2.85610975844625,1.559975458525252,0.8096878751386372,-0.0,5.225773092110139,397.3982480214305,508
4.0,12.854521858664786,80.16144089112467,4.772619919322105,1.1332408371176126,0.5851017553707664,-0.0,6.490962511810484,398.87701565750064,486
5.0,12.854521858664786,80.17042400287458,7.666392646269256,0.0,0.0,-0.0,7.666392646269256,400.2508716305539,476
6.0,12.854521858664786,80.1794071146245,8.833769864642418,0.0,0.0,-0.0,8.833769864642418,401.6153152646342,462
7.0,12.854521858664786,80.18839022637441,6.244735174703597,1.3378618914688922,0.0,-0.0,7.5825970661724895,400.15293041324423,477
8.0,12.854521858664786,80.19737333812432,22.808984386552634,7.30657877013067,0.0,-0.0,30.115563156683304,426.48971483498366,372
9.0,12.854521858664786,80.20635644987422,47.728865609055426,10.04953826645406,0.0,-0.0,57.77840387550948,458.82235446964984,276
10.0,12.854521858664786,80.21533956162413,48.39357418089438,7.969504553465522,0.0,-0.867399561767286,55.49567917259262,456.1542801400916,286
11.0,12.854521858664786,80.22432267337405,37.707054521407855,7.1924017689073905,0.0,-1.7200576947018278,43.179398595613414,441.75887275649995,329
12.0,12.854521858664786,80.23330578512396,38.26992925707664,9.35021300995565,0.0,-1.3180132313279092,46.30212903570438,445.4087552476699,317
13.0,12.854521858664786,80.24228889687387,26.692414600150983,6.694103759410865,0.28913981382753856,-0.0,33.67565817338939,430.6507939667444,353
14.0,12.854521858664786,80.25127200862377,8.179345516327842,2.523733964603072,0.20747028793252476,-0.0,10.910549768863438,404.0426789951421,451
15.0,12.854521858664786,80.26025512037369,0.0,0.0,0.0,-0.0,0.0,391.2903056044847,621
16.0,12.854521858664786,80.2692382321236,0.0,0.0,0.0,-0.0,0.0,391.2903056044847,621
17.0,12.854521858664786,80.27822134387351,0.0,0.0,0.0,-0.0,0.0,391.2903056044847,621
18.0,12.863565575994357,80.13449155587494,0.0,2.3719638634460463,0.0,-0.0,2.3719638634460463,394.06268366944096,557
19.0,12.863565575994357,80.14347466762486,0.7476736102456395,1.8168343389534802,0.0,-0.0,2.5645079491991196,394.2877313643512,549
20.0,12.863565575994357,80.15245777937477,2.52488960299747,0.5378039018232454,0.0,-0.0,3.0626935048207153,394.8700162498708,536
21.0,12.863565575994357,80.16144089112467,6.02115140364907,0.0,0.0,-0.0,6.02115140364907,398.32789514558556,497
22.0,12.863565575994357,80.17042400287458,9.914587146534513,0.0,0.0,-0.0,9.914587146534513,402.8785866705443,456
23.0,12.863565575994357,80.1794071146245,10.06519543046431,0.0,0.0,-0.0,10.06519543046431,403.0546193282092,454
24.0,12.863565575994357,80.18839022637441,5.700469763841127,0.7431207093342841,0.0,-0.0,6.443590473175411,398.8216466854736,489
25.0,12.863565575994357,80.19737333812432,29.457953160721154,2.999210408546915,0.0,-0.0,32.45716356926807,429.22660375676975,359
