CellID,Lat,Lon,schools,offices,apartments,tourist_places,bakeries,supermarkets,RawScore,Score_0_1000,Rank
1.0,12.854521858664786,80.15449155587496,0.0,0.0,3.356506034415097,1.260824733104831,-0.0,-1.090126600865254,3.5272041666546734,9.428585885221565,490
2.0,12.854521858664786,80.16347466762487,0.0,0.0,5.305651074652574,0.739811032329819,-0.0,-0.6351835820596431,5.4102785249227505,13.049623899772477,477
3.0,12.854521858664786,80.17245777937478,0.0,0.0,8.291934914888223,0.0,-0.0,-0.0,8.291934914888223,18.590874720337812,457
4.0,12.854521858664786,80.18144089112468,0.0,0.0,8.428966572504885,0.3473170930494674,-0.0,-0.0,8.776283665554352,19.52224805180591,456
5.0,12.854521858664786,80.1904240028746,0.0,0.0,5.6136757863303615,1.7108321798543904,-0.0,-0.0,7.324507966184752,16.730571253204324,466
6.0,12.854521858664786,80.1994071146245,0.0,0.0,29.37987842085863,6.7269149943177755,-0.0,-0.0,36.106793415176405,72.07716407299625,354
7.0,12.854521858664786,80.20839022637442,0.0,0.0,50.57677290373677,7.732445354970142,-0.0,-0.0,58.309218258706906,114.77108320616107,301
8.0,12.854521858664786,80.21737333812433,0.0,1.8096305450101395,45.14874119422359,5.68990284618345,-0.0,-0.0,52.64827458541718,103.88543116103064,312
9.0,12.854521858664786,80.22635644987423,0.0,2.4975089753322677,39.695065762055734,5.738672590304847,-0.0,-0.0,47.931247327692844,94.81487325082567,322
10.0,12.854521858664786,80.23533956162414,0.0,1.1983702159744765,37.651455345266086,7.363387438921163,-0.0,-0.0,46.21321300016173,91.51119722604282,330
11.0,12.854521858664786,80.24432267337406,0.0,0.0,22.35150050924012,4.516567064075196,-0.0,-0.388659555340523,26.479408017974794,53.56428466866822,383
12.0,12.854521858664786,80.25330578512397,0.0,0.0,6.121601181990444,1.5512014126877396,-0.0,-0.0,7.672802594678184,17.400320742650166,462
13.0,12.854521858664786,80.26228889687388,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.6459857630012857,619
14.0,12.854521858664786,80.27127200862378,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.6459857630012857,619
15.0,12.854521858664786,80.2802551203737,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.6459857630012857,619
16.0,12.854521858664786,80.28923823212361,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.6459857630012857,619
