CellID,Lat,Lon,schools,offices,apartments,tourist_places,bakeries,supermarkets,RawScore,Score_0_1000,Rank
1.0,12.8045,80.0045,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
2.0,12.8045,80.0135,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
3.0,12.8045,80.0225,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
4.0,12.8045,80.0315,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
5.0,12.8045,80.0405,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
6.0,12.8045,80.0495,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
7.0,12.8045,80.0585,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
8.0,12.8045,80.0675,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
9.0,12.8045,80.0765,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
10.0,12.8045,80.0855,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
11.0,12.8045,80.0945,0.0,0.0,0.0,0.43238323102635806,-0.0,-0.0,0.43238323102635806,2.687605643920495,985
12.0,12.8045,80.1035,0.0,0.0,0.0,1.48316810591828,-0.0,-0.0,1.48316810591828,4.745636169550167,911
13.0,12.8045,80.1125,0.0,0.0,0.0,1.9582248405790297,-0.0,-0.0,1.9582248405790297,5.676065684381485,880
14.0,12.8045,80.1215,0.0,0.0,0.0,0.9951427311081655,-0.0,-0.0,0.9951427311081655,3.78980672944295,944
15.0,12.8045,80.1305,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
16.0,12.8045,80.1395,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
17.0,12.8045,80.1485,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
18.0,12.8045,80.1575,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
19.0,12.8045,80.1665,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
20.0,12.8045,80.1755,0.0,0.0,0.6282289671151684,0.48080958683937414,-0.0,-0.0,1.1090385539545426,4.012879106825297,933
21.0,12.8045,80.1845,0.0,0.0,36.97649502344963,1.7723476871097352,-0.0,-0.0,38.748842710559366,77.73288382328342,443
22.0,12.8045,80.1935,0.0,0.0,82.04817923634829,2.1661860074866395,-0.0,-0.0,84.21436524383493,166.78006700319816,282
23.0,12.8045,80.2025,0.0,0.0,73.64218968791437,0.7631655970127206,-0.0,-0.0,74.40535528492708,147.56848297300914,307
24.0,12.8045,80.2115,0.0,2.003554427059667,36.78705141566528,1.5804507328284088,-2.3456491258428436,-1.3136225388252445,36.71178491088527,73.7431736224847,462
25.0,12.8045,80.2205,0.0,2.2553428589653484,32.457929117629504,4.611255541318082,-5.526624704324748,-3.3608905331636936,30.437012280424494,61.45362328402735,494
26.0,12.8045,80.2295,0.0,0.0,41.89692958954748,5.207404085066623,-5.013529820876882,-3.4111223233943146,38.679681530342904,77.59742715325027,445
27.0,12.8045,80.2385,0.0,0.0,26.885976619770936,3.330315793817001,-1.7511122551368299,-1.373957930461584,27.09122222798952,54.90067583989184,510
28.0,12.8045,80.2475,0.0,0.0,7.03136057023025,2.466871546884717,-0.0,-0.0,9.498232117114966,20.44366037418596,665
29.0,12.8045,80.2565,0.0,0.0,1.4487157686603578,1.8753764185176476,-0.0,-0.0,3.3240921871780054,8.351205725344311,816
30.0,12.8045,80.2655,0.0,0.0,0.0,0.36801916008750013,-0.0,-0.0,0.36801916008750013,2.5615444244348344,991
31.0,12.8045,80.2745,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
32.0,12.8045,80.2835,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
33.0,12.8045,80.2925,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
34.0,12.8045,80.3015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
35.0,12.8045,80.3105,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
36.0,12.8045,80.3195,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
37.0,12.8045,80.3285,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
38.0,12.8045,80.3375,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
39.0,12.8045,80.3465,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
40.0,12.8045,80.3555,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
41.0,12.8045,80.3645,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
42.0,12.8045,80.3735,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
43.0,12.8045,80.38250000000001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
44.0,12.8045,80.39150000000001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
45.0,12.8045,80.40050000000001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
46.0,12.813500000000001,80.0045,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8407549616491528,1510
