objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
87314,8935543.168273926,1458925.9235229492,33,568,600090,33021002122,CHILDREN'S PARADISE MATRICULATION SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87348,8935643.355895996,1458935.9771118164,33,568,600090,33021002102,CPS ODAI KUPPAM,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87629,8935626.213,1459378.7918701172,33,568,600041,33021002116,"CHILDREN'S PARADISE NURSERY AND PRIMARY SCHOOL,LAKSHMIPURAM",5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87933,8935440.197875977,1459823.3275146484,33,568,600090,33020901605,ARIGNAR ANNA GOVT HSS,1,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Department of Education,Urban
79733,8924703.766906738,1443425.693725586,33,730,600127,33030600301,ACMS PONMAR,4,2,3,1,Primary with Upper Primary,Co-education,33,787, ,Tiruporur,5958,629397,TAMIL NADU,Chengalpattu,Ponmar,Government Aided,Rural
82576,8924599.349,1450479.719116211,33,730,600073,33031403001,PUMS Santhoshapuram,1,2,3,1,Primary with Upper Primary,Co-education,33,787,05703,Tambaram,5703,,TAMIL NADU,Chengalpattu, ,Department of Education,Rural
83324,8925537.883911133,1452006.297302246,33,730,600129,33031401402,TAGORE MATRICULATION SCHOOL,5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
83344,8925147.709106445,1452063.862487793,33,730,600129,33031401404,pole star matric hr sec school,5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,,TAMIL NADU,Chengalpattu, ,Pvt. Unaided (Recognized),Rural
83375,8925470.980895996,1452109.5493164062,33,730,600129,33031401401,PUPS NANMANGALAM,1,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Department of Education,Rural
83376,8925470.980895996,1452109.5493164062,33,730,600129,33031401407,GHS NANMANGALAM,1,7,3,1,Upper Pr. and Secondary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Department of Education,Rural
83382,8925477.548706055,1452123.7122802734,33,730,600129,33031401403,RAGAVENDRA NURSERY & PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
83538,8924737.830688477,1452497.889892578,33,730,600129,33031401406,R R NURSERY & PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
84557,8924636.863891602,1454391.9251098633,33,730,600117,33030903285,"DHAYA JOTHY MATRIC HR SEC SCHOOL ,OLD PALLAVARAM",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
84572,8924656.456115723,1454415.3414916992,33,730,600117,33030904504,"Arul Jothi Public CBSE School, Old Pallavaram",5,2,3,2,Primary with Upper Primary,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
84871,8925302.332,1454850.0900878906,33,730,600117,33030903272,"BFM Aided PS, Keelkatalai",4,1,3,2,Primary,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Government Aided,Urban
85177,8924941.768127441,1455329.9658813477,33,730,600117,33030903281,"GOOD SHEPHERD MATRICULATION HIGHER SECONDARY SCHOOL, OLD PALLAVARAM, CHENNAI- 117",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
85515,8925554.471,1455915.514709473,33,730,600043,33031402702,PUPS AMMANNAGAR THIRUSULAM,1,1,3,1,Primary,Co-education,33,787, ,Pallavaram,6629,629372,TAMIL NADU,Chengalpattu,Tirusulam (CT),Department of Education,Rural
86185,8925431.017089844,1457063.4581298828,33,730,600114,33030903111,KENDRIYA VIDYALAYA DGI COMPLEX (Code-1773),92,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,629372,TAMIL NADU,Chengalpattu,Tirusulam (CT),Kendriya Vidyalaya(KV),Urban
86792,8933408.617126465,1458125.652709961,33,568,600113,33021001925,THE SPASTIC SOCIETY OF TAMIL NADU,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
79574,8932477.875,1442934.9425048828,33,730,603112,33030600903,BLUE STAR NURSERY AND PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787, ,Tiruporur,5958,629401,TAMIL NADU,Chengalpattu,Kannathur Reddy Kuppam,Pvt. Unaided (Recognized),Rural
86451,8932621.810913086,1457546.7985229492,33,568,600113,33021002006,"NEW WISDOM NURSERY & PRIMARY SCHOOL, THARAMANI",5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86584,8932299.43,1457765.9094848633,33,568,600113,33021002009,EVAANS MATRICULATION HR. SEC. SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86638,8932236.756896973,1457885.5189208984,33,568,600113,33021002003,CHSS THARAMANI,3,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
86969,8932423.884887695,1458386.6951293943,33,568,600113,33021002012,ST.JOHNS N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87457,8932503.367126465,1459103.8024902344,33,568,600113,33020901801,A.C. Middle School Kanagam,4,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Government Aided,Urban
86111,8929207.976,1456950.478088379,33,568,600042,33021001927,SAN ACADEMY NURSERY AND PRIMARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86203,8929512.212280273,1457103.212524414,33,568,600042,33021001920,LAKSHMI VIDYALAYA NURSERY AND PRIMARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86515,8929597.594299316,1457656.4680786133,33,568,600042,33021001906,VIDHYA ASHRAM NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87179,8929152.317,1458745.1895141602,33,568,600042,33021001903,CPS KUIL KUPPAM,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87209,8929168.123901367,1458799.2266845703,33,568,600042,33021001928,D.A.V. BABA SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87294,8929479.595703125,1458891.4216918943,33,568,600042,33020901216,NEHRU NURSERY & PRIMARY SCHOOL,5,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87353,8929663.272888184,1458950.828918457,33,568,600042,33021001918,VICTORY NURSERY AND PRIMARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87418,8929214.210083008,1459381.4196777344,33,568,600042,33020901218,DAVe BABA VIDYALAYA,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87463,8929296.920471191,1459120.254,33,568,600042,33020901713,MOTHER THERESA NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87478,8929767.022705078,1459133.506286621,33,568,600042,33020901210,ST FRANCIS SAVIO MATRICULATION HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87522,8929392.432678223,1459213.935119629,33,568,600042,33020901215,AALPHA NURSERY,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87788,8929366.829101562,1459631.6198730469,33,568,600032,33020901201,CPS MADUVINKARAI,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87799,8929422.822875977,1459652.9843139648,33,568,600032,33020901203,CHSS MADUVANKARAI,3,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
86683,8933829.738891602,1457930.5294799805,33,568,600041,33021002013,PATHWAY CENTRE FOR REHABILITATION & EDUCATION OF THE INTELLECTUAL DISABLED,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86768,8934141.767,1458080.1848754885,33,568,600041,33021002119,SRI SANKARA VIDYASHRAMAM MHSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87064,8933903.654907227,1458586.505493164,33,568,600041,33021002010,CPS INDRA NAGAR,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87272,8933979.240905762,1458848.1231079102,33,568,600020,33021002011,CHITHKALA NURSERY &  PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87693,8933773.188476562,1459459.678527832,33,568,600020,33021002120,THE HINDU SR SEC SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87796,8934108.26,1459639.7315063477,33,568,600020,33021001806,KPM NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87998,8934029.891113281,1459898.1600952148,33,568,600020,33021001707,BHARATH SR SEC SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
88013,8933809.256,1459934.9481201172,33,568,600020,33021001708,CHS KAMARAJ AVENUE,3,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
88014,8933802.354125977,1459945.6873168943,33,568,600020,33021001704,CPS KAMARAJ AVENUE,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
86625,8935098.558288574,1457850.104309082,33,568,600041,33021002123,SWABODHINI SCHOOL FOR  SPECIAL,5,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86669,8935243.719,1457905.510925293,33,568,600041,33021002103,CPS T V KUPPAM,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87290,8935138.522094727,1458881.3682861328,33,568,600090,33020901902,THE BESANT THEOSOPHICAL HR. SEC. SCHOOL,4,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Government Aided,Urban
87382,8934827.829284668,1459014.3488769531,33,568,600041,33021002101,CMS GANDHIGRAMAM,3,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87607,8935197.966674805,1459343.2614746094,33,568,600090,33020901404,RBI STAFF QUARTERS SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
88015,8935236.371887207,1459950.028930664,33,568,600090,33021001805,St. John's English School & Jr College,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
79567,8933074.102111816,1442909.7084960938,33,730,603112,33030600901,"Panchayat Union Primary School, KANATHUR KUPPAM",1,1,3,1,Primary,Co-education,33,787, ,Tiruporur,5958,629401,TAMIL NADU,Chengalpattu,Kannathur Reddy Kuppam,Department of Education,Rural
86398,8931377.593078613,1457439.4143066406,33,568,600042,33021001901,CPS UDHAYAM NAGAR,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
86504,8930971.276916504,1457622.996,33,568,600042,33021002015,MARG VIDHYALAYA NURSERY & PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86507,8930940.330078125,1457635.7907104492,33,568,600042,33020901715,SUNSHINE N&P,5,12,3,2,Pre-Primary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86723,8930977.956115723,1458000.330505371,33,568,600042,33021001916,NEELA NURSERY & PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86775,8931227.311706543,1458087.153503418,33,568,600042,33021001914,DAVID MATRICULATION HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86777,8930912.5,1458089.895324707,33,568,600042,33021001924,MOUNT CARMEL MATRICULATION SCHOOL,5,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86171,8930730.158874512,1457020.5051269531,33,568,600042,33020901704,ST ANTONY'S HIGHER SECONDARY SCHOOL VELACHERY,4,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Government Aided,Urban
86173,8930685.074523926,1457026.2169189453,33,568,600042,33020901716,DHAYA INTERNATIONAL SCHOOL,8,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Unrecognized,Urban
86176,8930726.374084473,1457031.8145141602,33,568,600042,33020901701,ST.ANTONY P SCHOOL,4,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Government Aided,Urban
86505,8930726.374084473,1457627.9083251953,33,568,600042,33021001904,"ST.SAVIO MATRICULATION HIGHER  SECONDARY SCHOOL, VELACHERY",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
86697,8930740.622924805,1457966.6295166016,33,568,600015,33020901703,"ADVENT CHRISTIAN  HIGH  SCHOOL, VELACHERY",4,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Government Aided,Urban
86698,8930740.622924805,1457966.6295166016,33,568,600042,33020901702,A.C. Primary School Velachery,4,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Government Aided,Urban
79839,8927854.999084473,1443775.8931274414,33,730,600130,33030605402,ACPS KARANAI,4,1,3,1,Primary,Co-education,33,787, ,Tiruporur,5958,629398,TAMIL NADU,Chengalpattu,Karanai,Government Aided,Rural
81898,8927862.680114746,1449069.0258789062,33,730,600100,33031402403,"AC PRIMARY School, Perumbakkam",4,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629375,TAMIL NADU,Chengalpattu,Perumbakkam,Government Aided,Rural
79589,8927458.033874512,1442980.5003051758,33,730,600130,33030600602,"Ansaldo HS(Unaided), Thazhambur",5,7,3,1,Upper Pr. and Secondary,Co-education,33,787, ,Tiruporur,5958,629399,TAMIL NADU,Chengalpattu,Thazhambur,Pvt. Unaided (Recognized),Rural
80597,8927476.735473633,1445873.2963256836,33,730,600126,33031402002,SAI SANKALP NURSERY & PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,787,05703,Tambaram,5703,629376,TAMIL NADU,Chengalpattu,Sittalapakkam,Pvt. Unaided (Recognized),Urban
80677,8927302.965698242,1446080.5557250977,33,730,600131,33031402605,MAYFIELD RESIDENTIAL SCHOOL SITHALAPAKKAM,5,6,3,1,Pr. Up Pr. and Secondary Only,Co-education,33,787,05703,Tambaram,5703,629376,TAMIL NADU,Chengalpattu,Sittalapakkam,Pvt. Unaided (Recognized),Rural
81504,8927474.286499023,1448284.9063110352,33,730,600100,33031402402,"Gayathri N & PS,Perumbakkam",5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629375,TAMIL NADU,Chengalpattu,Perumbakkam,Pvt. Unaided (Recognized),Rural
81545,8927630.578918457,1448371.4713134766,33,730,600100,33031402401,"PUMS, NOOKAMPALAYAM",1,2,3,1,Primary with Upper Primary,Co-education,33,787,05703,Tambaram,5703,629375,TAMIL NADU,Chengalpattu,Perumbakkam,Department of Education,Rural
82376,8927018.321716309,1450130.237121582,33,730,600100,33031401508,GHSS Medavakkam,1,5,3,1,Up. Pr. Secondary and Higher Sec,Co-education,33,787,05703,Tambaram,5703,629387,TAMIL NADU,Chengalpattu,Medavakkam (CT),Department of Education,Rural
82422,8927007.189880371,1450213.6099243164,33,730,600100,33031401502,PUPS MEDAVAKKAM,1,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629387,TAMIL NADU,Chengalpattu,Medavakkam (CT),Department of Education,Rural
82475,8927033.239,1450289.901916504,33,730,600100,33031401503,"ZIGMA MHSS, MEDAVAKKAM",5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629387,TAMIL NADU,Chengalpattu,Medavakkam (CT),Pvt. Unaided (Recognized),Rural
82918,8927746.351,1451164.3048706057,33,730,600100,33031400606,"AKG Public School, Jalladianpet",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629387,TAMIL NADU,Chengalpattu,Medavakkam (CT),Pvt. Unaided (Recognized),Urban
83002,8927681.785888672,1451303.1884765625,33,730,600100,33031403504,"GOVERNMENT HIGHER SECONDARY SCHOOL, PALLIKARANAI, CHENNAI 600100",1,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,787,05703,Tambaram,5703,629387,TAMIL NADU,Chengalpattu,Medavakkam (CT),Department of Education,Urban
83926,8926853.568908691,1453216.3336791992,33,730,600129,33031400802,"GHSS,KOVILAMBAKKAM",1,5,3,1,Up. Pr. Secondary and Higher Sec,Co-education,33,787,05703,Tambaram,5703,629386,TAMIL NADU,Chengalpattu,Koilambakkam (CT),Department of Education,Rural
84121,8927233.168273926,1453543.0089111328,33,730,600129,33031400801,PUPS KOVILAMBAKKAM,1,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629386,TAMIL NADU,Chengalpattu,Koilambakkam (CT),Department of Education,Rural
84157,8927252.426696777,1453579.2175292969,33,730,600129,33031400812,Himayam Matric Higher Secondary School,5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629386,TAMIL NADU,Chengalpattu,Koilambakkam (CT),Pvt. Unaided (Recognized),Rural
84181,8927185.634887695,1453640.5552978516,33,730,600129,33031400805,NETHAJI VIDHYALAYAM NURSERY & PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629386,TAMIL NADU,Chengalpattu,Koilambakkam (CT),Pvt. Unaided (Recognized),Rural
84211,8927094.686889648,1453683.6174926758,33,730,600117,33031400814,"Srujana Montessori N & PS, Kovilambakkam",5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629386,TAMIL NADU,Chengalpattu,Koilambakkam (CT),Pvt. Unaided (Recognized),Rural
84506,8927108.045288086,1454295.2901000977,33,730,600129,33031400815,"Sri Chaitanya Techno Scool, Kovilamabakkam",5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Rural
84898,8927022.329284668,1454919.5407104492,33,730,600091,33030903126,"VAILANKANNI SILVER JUBILEE MATRIC.HR.SEC.SCHOOL, MADIPAKKAM",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
85625,8926869.487670898,1456100.228881836,33,730,600091,33031401010,Sai MHSS Madipakkam,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,629373,TAMIL NADU,Chengalpattu,Moovarasampettai (CT),Pvt. Unaided (Recognized),Urban
85658,8926933.384887695,1456167.969116211,33,730,600091,33031401008,Rajkumar Sulochana MHSS Madipakkam,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,629373,TAMIL NADU,Chengalpattu,Moovarasampettai (CT),Pvt. Unaided (Recognized),Urban
80007,8922945.586914062,1444268.3717041016,33,730,600127,33030701701,"PUPS, VENGADAMANGALAM",1,1,3,1,Primary,Co-education,33,787,05706,Chengalpattu,5706,629396,TAMIL NADU,Chengalpattu,Vengadamangalam,Department of Education,Rural
80860,8922386.985717773,1446641.5908813477,33,730,600126,33031400103,SRI VENKATESWARA VIDYALAYA NURSERY & PRIMARY SCHOOL,5,2,3,1,Primary with Upper Primary,Co-education,33,787,05703,Tambaram,5703,629364,TAMIL NADU,Chengalpattu,Kasbapuram,Pvt. Unaided (Recognized),Rural
80862,8922253.847473145,1446651.6400756836,33,730,600126,33031400101,ADWPS Padhuvancherry,2,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629364,TAMIL NADU,Chengalpattu,Kasbapuram,Tribal Welfare Department,Rural
80869,8922292.809509277,1446668.7692871094,33,730,600126,33031400104,"ADWHS, Paduvanchery",2,5,3,1,Up. Pr. Secondary and Higher Sec,Co-education,33,787,05703,Tambaram,5703,629364,TAMIL NADU,Chengalpattu,Kasbapuram,Tribal Welfare Department,Rural
80892,8922197.742492676,1446717.5307006836,33,730,600126,33031400105,"Sharon N & P School, Padhuvancheri",5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629364,TAMIL NADU,Chengalpattu,Kasbapuram,Pvt. Unaided (Recognized),Rural
81908,8922723.949707031,1449077.705505371,33,730,600126,33031403308,Mount Carmel Mat. School,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,803348,TAMIL NADU,Chengalpattu,Madambakkam (TP),Pvt. Unaided (Recognized),Urban
82056,8922957.387,1449414.155090332,33,730,600126,33031403301,GHSS MADAMBAKKAM,1,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,787,05703,Tambaram,5703,803348,TAMIL NADU,Chengalpattu,Madambakkam (TP),Department of Education,Urban
82095,8922597.490905762,1449490.2164916992,33,730,600073,33031404015,Trileaves Global School,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,803345,TAMIL NADU,Chengalpattu,Tambaram (M),Pvt. Unaided (Recognized),Urban
82163,8922611.183105469,1449616.3007202148,33,730,600073,33031404014,"Trileaves International School, Sembakkam",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,803345,TAMIL NADU,Chengalpattu,Tambaram (M),Pvt. Unaided (Recognized),Urban
82313,8922459.120727539,1449968.7459106443,33,730,600073,33031402803,KENDRIYA VIDYALAYA NO.2 TAMBARAM (Code-1779),92,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,803345,TAMIL NADU,Chengalpattu,Tambaram (M),Kendriya Vidyalaya(KV),Rural
82482,8923018.946289062,1450330.2178955078,33,730,600073,33031404008,CHRIST KRUPA NURSERY & PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,787,05703,Tambaram,5703,,TAMIL NADU,Chengalpattu, ,Pvt. Unaided (Recognized),Urban
83548,8922255.963,1452524.1600952148,33,730,600064,33030904505,"Phoenix Play And Primary School, Hasthinapuram",5,1,3,2,Primary,Co-education,33,787,05703,Tambaram,5703,803343,TAMIL NADU,Chengalpattu,Chitlapakkam (TP),Pvt. Unaided (Recognized),Urban
83589,8922248.838,1452617.819519043,33,730,600064,33030904506,"Saradha Vidyalaya N and PS, Hasthinapuram",5,1,3,2,Primary,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
83714,8922879.463,1452849.3425292969,33,730,600064,33030904503,"Shikshaa Public School, Hasthinapuram",5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
83743,8922916.309875488,1452918.5598754885,33,730,600064,33030903224,SHIKSHAA MATRIC HR SEC SCHOOL HASTHINAPURAM,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
83836,8922684.097473145,1453027.5263061523,33,730,600064,33030903276,"Royal Matric HSS,Hastinapuram",5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,787, ,Pallavaram,6629,803356,TAMIL NADU,Chengalpattu,Pallavaram (M),Pvt. Unaided (Recognized),Urban
