objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
91016,8931169.759521484,1465569.2147216797,33,568,600024,33020801208,VIZUTHAMANGALAM RAJESWARI PRIMARY SCHOOL,4,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Government Aided,Urban
91017,8931114.767700195,1465571.8430786133,33,568,600024,33020800806,Janaki Amma memorial sishya primary school,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91240,8931158.070922852,1466082.4114990234,33,568,600094,33020501907,SREE VIDYA MANDIR NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91334,8931145.046691895,1466246.394104004,33,568,600094,33020801210,"SEVENTH DAY ADVENTIST MATRIC HIGH SCHOOL ,KODAMBAKKAM CHENNAI",5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91447,8931270.393,1466506.254272461,33,568,600034,33020701107,CHILD JESUS NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91493,8931073.134094238,1466596.7603149414,33,568,600094,33020501814,L M DHADHA SR.SEC.SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91540,8931212.951,1466725.5488891602,33,568,600008,33020800402,"JG GOVT GIRL'S HIGHER SECONDARY SCHOOL,CHOOLAIMEDU",1,5,2,2,Up. Pr. Secondary and Higher Sec,Girls,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Department of Education,Urban
91588,8931250.800109863,1466819.369506836,33,568,600094,33020501804,CHSS CHOOLAIMEDU,3,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Local Body,Urban
91604,8931167.756,1466881.993103027,33,568,600094,33020501802,CPS SANKARAPURAM,3,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Local Body,Urban
91608,8931121.001525879,1466909.9907226562,33,568,600094,33020501819,MILTON N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91637,8930942.445129395,1466955.9298706057,33,568,600094,33020501818,ANJUGAM PRIMARY SCHOOL,4,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Government Aided,Urban
91652,8930921.962280273,1467011.354309082,33,568,600094,33020501803,CHS THIRUVALLUVARPURAM,3,7,3,2,Upper Pr. and Secondary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Local Body,Urban
91659,8930960.144897461,1467025.0675048828,33,568,600094,33020501801,C.P.S NAMACHIVAYAPURAM,3,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Local Body,Urban
91660,8930960.144897461,1467025.0675048828,33,568,600094,33020501722,NATIONAL STAR N & P,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91684,8931370.691,1467065.4074707031,33,568,600094,33020501906,JOHN MILTON N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91723,8931005.563293457,1467181.2849121094,33,568,600094,33020501812,T T A MATRIC HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91749,8931411.211486816,1467249.508728027,33,568,600084,33020501905,C.S.I. EWART MATRICULATION HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91778,8931338.074523926,1467307.447692871,33,568,600094,33020502203,MORNING STAR MATRIC. HR. SEC. SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91779,8931343.084,1467307.562072754,33,568,600094,33020502205,ARPUTHARAJ MATRICULATION HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91967,8930933.428283691,1467811.876525879,33,568,600094,33020501113,ARUL SELVAN VENKATESH PRABU NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Aminjikarai,7161,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
91971,8930933.205688477,1467831.761291504,33,568,600028,33020501117,ALAMEEN N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Aminjikarai,7161,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
92229,8931302.341125488,1468423.8541259766,33,568,600030,33020501510,ST GEORGE'S AI HSS,4,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Government Aided,Urban
92352,8931075.694519043,1468785.904296875,33,568,600030,33020501004,DR BMS MAT HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Aminjikarai,7161,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
92446,8931308.574890137,1469081.559326172,33,568,600029,33020501119,APARNA N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
92597,8931277.962097168,1469433.3319091797,33,568,600010,33020501334,ST.JOSEPH'S NURSERY & PRIMARY  SCHOOL,5,1,3,2,Primary,Co-education,33,603,05925,Chennai,0,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
92853,8931117.105529785,1470027.8585205078,33,568,600023,33020401003,BETHEL MAT SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
92881,8930927.862304688,1470094.1463012695,33,568,600029,33020501102,CPS MANJAKOLLAI,3,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
92949,8931224.194885254,1470220.7794799805,33,568,600023,33020401001,cps solai st,3,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
92988,8931350.876281738,1470326.155090332,33,568,600023,33020500205,NIRMAL HIGH SCHOOL,4,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
92993,8931352.880126953,1470349.813293457,33,568,600023,33020500206,NIRMAL PRIMARY SCHOOL,4,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
93247,8931078.588928223,1470887.3270874023,33,568,600023,33020401009,KAMARAJ MAT SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
93259,8930978.735290527,1470910.4143066406,33,568,600023,33020500201,W. P. A. SOUNDARAPANDIAN PRIMARY SCHOOL,4,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
93260,8930978.735290527,1470910.4143066406,33,568,600023,33020500202,W. P. A. SOUNDARAPANDIAN HR. SEC. SCHOOL,4,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
93261,8931054.766479492,1470912.471496582,33,568,600023,33020400912,M.M. NURSERY & PRY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
